a	Một
thermic	nhiệt
thermidor	máy điều nhiệt
thermion	nhiệt điện
thermionic	nhiệt điện tử
thermionics	chất sinh nhiệt
thermistor	điện trở nhiệt
thermoacidophile	ưa axit ưa nhiệt
thermobia	sinh nhiệt
thermocouple	cặp nhiệt điện
thermodynamic	nhiệt động học
thermodynamically	nhiệt động học
thermodynamics	nhiệt động học
thermoelectric	nhiệt điện
thermoelectricity	nhiệt điện
thermograph	máy đo nhiệt độ
thermohydrometer	nhiệt kế
thermohydrometric	nhiệt kế
thermojunction	mối nối nhiệt
thermology	nhiệt học
thermometer	nhiệt kế
thermometric	phép đo nhiệt độ
thermometrograph	máy đo nhiệt kế
thermometry	phép đo nhiệt độ
thermonuclear	nhiệt hạch
thermopile	cọc nhiệt điện
thermoplastic	nhựa nhiệt dẻo
thermopsis	sinh nhiệt
thermopylae	nhiệt hạch
thermoreceptor	thụ nhiệt
thermos	phích nước
thermoscope	máy đo nhiệt độ
thermosetting	nhiệt rắn
thermosphere	tầng nhiệt
thermostat	máy điều nhiệt
thermostated	điều nhiệt
thermostatic	điều nhiệt
thermostatically	điều nhiệt
thermostatics	điều nhiệt
thermotics	nhiệt học
theropod	theropod
theropoda	theropoda
thersites	địa điểm trị liệu
thesaurus	từ điển đồng nghĩa
these	những cái này
theseus	những người này
thesis	luận án
thespesia	thespesia
thespian	người da trắng
thespis	thespis
thessalia	thessalia
thessalonika	thessalonica
theta	theta
thetis	thetis
theurgist	nhà trị liệu
theurgy	phép thuật
thevetia	thevetia
thews	dây gân
they	họ
thg	ngày
thiazine	thiazin
thick	dày
thickcoming	dày lên
thicken	dày lên
thickened	dày lên
thickening	dày lên
thickens	dày lên
thicket	bụi rậm
thickets	bụi rậm
thickeyd	dày đặc
thickhead	đồ đầu đất
thickly	dày đặc
thickness	độ dày
thickribbed	gân dày
thickset	bụi rậm
thickskinned	mặt dày
thickskull	cứng đầu
thickskulled	da dày
thickspread	dày đặc
thief	tên trộm
thielavia	thielavia
thieve	kẻ trộm
thievery	trộm cắp
thieves	kẻ trộm
thieving	trộm cắp
thieving(a)	trộm cắp(a)
thievish	ăn trộm
thievishly	ăn trộm
thievishness	tính trộm cắp
thigh	đùi
thill	dốc
thimble	dây buộc
thimbleful	nhỏ nhen
thimblerig	thimblerig
thimblerigger	thợ thimbler
thimbleweed	cỏ thim
thimerosal	thimerosal
thin	gầy
thine	của bạn
thing	điều
things	đồ đạc
thingumbob	đồ vật
thingummy	thứ ngu xuẩn
think	nghĩ
thinkable	có thể suy nghĩ
thinker	nhà tư tưởng
thinkest	suy nghĩ nhất
thinking	Suy nghĩ
thinks	nghĩ
thinly	mỏng manh
thinness	độ mỏng
thinskinned	mỏng manh
thiobacillus	thiobacillus
thiobacteria	thiobacteria
thiobacteriaceae	thiobacteriaceae
thiocyanate	thioxyanat
thioguanine	thioguanin
thiopental	thiopental
thioridazine	thioridazin
thiouracil	thiouracil
third	ngày thứ ba
third(a)	thứ ba(a)
third-rate	hạng ba
third-rater	hạng ba
thirdly	thứ ba
thirds	phần ba
thirgyone	thirgyone
thirst	khát nước
thirstily	khát nước
thirstiness	khát nước
thirsty	khát
thirteen	mười ba
thirteenth	thứ mười ba
thirties	tuổi ba mươi
thirtieth	thứ ba mươi
thirty	ba mươi
thirtynine	ba mươi chín
this	cái này
thistle	cây kế
thistledown	cây tật lê
thistly	cây tật lê
thither	kia
thlaspi	thlaspi
tho	tho
thole	cái lỗ
thomas	thomas
thomism	chủ nghĩa thom
thomomys	thomomys
thompson	thompson
thomson	thomson
thong	thong
thor	Thần sấm
thorax	ngực
thoreau	thoreau
thoreauvian	thoreauvian
thoriated	được bảo vệ
thorite	thorite
thorium	thori
thorn	gai
thornbill	mỏ gai
thornless	không gai
thorns	gai
thorny	gai góc
thoro	thoro
thorough	triệt để
thoroughbass	tiếng bass triệt để
thoroughbred	thuần chủng
thoroughfare	đại lộ
thoroughgoing	thông suốt
thoroughly	triệt để
thoroughness	sự thấu đáo
thoroughpaced	triệt để
thorp	gai
thorshavn	torshavn
thortveitite	thortveitite
those	những thứ kia
thoth	thoth
thou	bạn
though	mặc dù
thought	nghĩ
thoughtful	chu đáo
thoughtfully	chu đáo
thoughtfulness	sự chu đáo
thoughtless	thiếu suy nghĩ
thoughtlessly	thiếu suy nghĩ
thoughtlessness	thiếu suy nghĩ
thoughts	suy nghĩ
thousand	ngàn
thousand-fold	gấp ngàn lần
thousandth	phần nghìn
thrace	Thrace
thracian	người Thracia
thraco-phrygian	thraco-phrygian
thraldom	sự thống trị
thrall	nô lệ
thrash	đập phá
thrasher	máy đập lúa
thrashing	đập phá
thraso	thraso
thrasonic	siêu âm
thraupidae	họ nhện
thread	chủ đề
threadbare	xơ xác
threadfin	sợi chỉ
threadfish	cá chỉ
threadlike	như sợi chỉ
threat	mối đe dọa
threaten	hăm dọa
threatened	bị đe dọa
threatening	đe dọa
three	ba
three-cornered	ba góc
three-d	ba chiều
three-decker	ba tầng
three-dimensional	ba chiều
three-dimensionality	không gian ba chiều
three-figure	ba con số
three-fourths	ba phần tư
three-hitter	người bắn ba phát
three-lane	ba làn
three-legged	ba chân
three-piece	ba mảnh
three-ply	ba lớp
three-quarter	ba phần tư
three-wheeled	ba bánh
threecolor	ba màu
threefold	gấp ba lần
threepence	ba xu
threepenny	ba xu
threescore	ba điểm
threetailed	có ba đuôi
threne	ngai vàng
threnetic	cuồng nhiệt
threnody	tam tài
threonine	threonine
thresh	tuốt lúa
thresher	máy tuốt lúa
threshing	đập lúa
threshold	ngưỡng
threskiornis	threskiornis
threskiornithidae	threskiornithidae
thrice	ba lần
thricetold	kể ba lần
thrid	thứ ba
thrift	tiết kiệm
thriftily	tiết kiệm
thriftiness	tiết kiệm
thriftless	tiết kiệm
thriftlessly	tiết kiệm
thriftlessness	tiết kiệm
thriftshop	cửa hàng tiết kiệm
thrifty	tiết kiệm
thrill	sợ hãi
thrilled	hồi hộp
thriller	giật gân
thrillful	hồi hộp
thrilling	kịch tính
thrinax	trùng roi
thripidae	bọ trĩ
thrips	bọ trĩ
thrive	phát triển
thriving	phát đạt
throat	họng
throated	cổ họng
throats	cổ họng
throatwort	ngải cứu
throaty	cổ họng
throb	nhói
throbbing	nhói
throe	đau đớn
throes	đau đớn
thrombasthenia	suy nhược cơ thể
thrombectomy	cắt bỏ huyết khối
thrombin	thrombin
thrombocytopenia	giảm tiểu cầu
thromboembolism	thuyên tắc huyết khối
thrombolytic	tan huyết khối
thrombophlebitis	viêm tắc tĩnh mạch
thromboplastin	huyết khối
thrombosed	huyết khối
thrombosis	huyết khối
thrombus	huyết khối
throne	ngai vàng
throned	lên ngôi
throng	đám đông
thronged	đông đúc
throstle	ga
throttle	van tiết lưu
through	bởi vì
through(a)	thông qua (a)
throughbred	con lai
throughout	khắp
throughput	thông lượng
throw	ném
throw-in	ném vào
throw-weight	trọng lượng ném
throwaway	vứt đi
throwaway(p)	đồ bỏ đi(p)
thrower	người giao cầu
thrown	ném
throwster	người ném
thrum	tiếng trống
thrush	bệnh tưa miệng
thrust	đẩy
thryothorus	tuyến giáp
thucydides	thucydide
thud	thịch
thug	du côn
thuggee	côn đồ
thuggery	côn đồ
thuggism	côn đồ
thuja	thuja
thujopsis	thujopsis
thule	thule
thulium	thuli
thumb	ngón cái
thumbed	ngón tay cái
thumbhole	lỗ nhỏ
thumbnail	hình nhỏ
thumbs	ngón tay cái
thumbscrew	đinh vít
thumbstall	điểm thu nhỏ
thumbtack	đinh bấm
thump	đập mạnh
thumper	người thổi kèn
thumping	đập thình thịch
thunbergia	thunbergia
thunder	sấm sét
thunderbird	sấm sét
thunderbold	sấm sét
thunderbolt	tiếng sét
thunderclap	sấm sét
thunderhead	sấm sét
thunderheaded	đầu óc choáng váng
thundering	sấm sét
thunderous	sấm sét
thunders	sấm sét
thundershower	mưa rào
thunderstorm	dông
thunderstruck	bị sét đánh
thundertube	ống sấm sét
thundery	sấm sét
thunk	thu nhỏ
thunnus	thunnus
thurible	lư hương
thurifer	người thu hoạch
thuriferous	phong phú
thurification	sự phong hóa
thuringia	thuringia
thurlow	thu nhỏ
thursday	thứ năm
thus	do đó
thwack	đập mạnh
thwart	cản trở
thy	của mày
thylacine	chó sói túi
thylacinus	chó sói túi bụi
thylogale	tuyến giáp
thyme	xạ hương
thymelaeaceae	họ xạ hương
thymine	xạ hương
thymol	tuyến ức
thymus	tuyến ức
thyreophora	thyreophora
thyroglobulin	thyroglobulin
thyroid	tuyến giáp
thyroidectomy	cắt bỏ tuyến giáp
thyronine	thyronine
thyroprotein	protein giáp trạng
thyrotoxic	độc tuyến giáp
thyrotrophin	thyrotrophin
thyroxine	thyroxin
thyrsopteris	cỏ xạ hương
thysanocarpus	cỏ xạ hương
thysanopter	thysanopter
thysanoptera	thysanoptera
thysanura	xạ hương
thyself	bản thân bạn
ti	ti
tiamat	tiamat
tianjin	thiên tân
tiara	vương miện
tiarella	tiarella
tiber	tiber
tibet	tây tạng
tibetan	tây tạng
tibeto-burman	tibeto-burman
tibi	tibi
tibia	xương chày
tibial	xương chày
tibialis	xương chày
tibicen	tibicen
tibs	xương sườn
tibullus	cây ti bò
tic	tic
tichodroma	tichodroma
ticino	ticino
tick	đánh dấu
ticker	mã cổ phiếu
tickertape	băng dán
ticket	vé
ticket-of-leave	vé nghỉ phép
ticking	tích tắc
tickle	thọc cù lét
tickled	nhột
tickler	cù lét
tickling	nhột nhột
ticklish	nhột nhột
ticktack	tích tắc
ticktacktoe	tích tắc
ticktock	tích tắc
tidal	thủy triều
tidbit	miếng ngon
tiddlywinks	tiddlywinks
tide	thủy triều
tidemark	thủy triều
tides	thủy triều
tidewater	nước thủy triều
tideway	thủy triều
tidily	ngăn nắp
tidiness	ngăn nắp
tidings	tin tức
tidy	ngăn nắp
tidyneat	gọn gang
tidytips	mẹo ngăn nắp
tie	cà vạt
tie-on	Buộc vào
tiebeam	xà ngang
tiebreaker	người bẻ khóa
tied	trói
tied(p)	ràng buộc(p)
tien	tiền
tien-pao	tien-pao
tiene	tiền
tienoscope	kính soi
tier	tầng
tierce	bậc thang
tiercel	bậc thang
ties	quan hệ
tiff	tiff
tiffin	bữa ăn trưa
tigella	tigella
tiger	con hổ
tigerish	hổ báo
tight	chặt
tight-fitting	bó sát
tight-knit	chặt chẽ
tighten	thắt chặt
tightened	thắt chặt
tightening	thắt chặt
tightly	thật chặt
tightness	độ kín
tightrope	thắt dây
tights	quần bó
tiglon	áo giáp
tigress	hổ cái
tigris	hổ cái
tijuana	tijuana
tike	tich
tilapia	cá rô phi
tilbury	tilbury
tilde	dấu ngã
tile	ngói
tiled	lát gạch
tilefish	cá ngói
tilia	tilia
tiliaceae	tiliaceae
tiling	ốp lát
tiliomycetes	tiliomycetes
till	cho đến khi
tillage	làm đất
tillandsia	đất đai
tilled	cày xới
tiller	máy cày
tilletia	chồi non
tilletiaceae	họ đậu
tilling	cày bừa
tilmus	tilmus
tilpah	tilpah
tilt	nghiêng
tilted	nghiêng
tilth	nghiêng
tilting	nghiêng
tiltyard	sân nghiêng
timalia	timalia
timaliidae	timaliidae
timbal	timbal
timbale	timbale
timber	gỗ
timber-framed	khung gỗ
timbered	gỗ
timberland	đất rừng
timbre	âm sắc
timbrel	âm sắc
timbres	âm sắc
timbrology	timbrology
timbuktu	timbuktu
time	thời gian
time-ball	quả bóng hẹn giờ
time-fuse	cầu chì thời gian
time-honored	thời gian vinh dự
time-out	hết giờ
time-switch	công tắc thời gian
timecard	phiếu chấm công
timed	hẹn giờ
timeful	đúng lúc
timehonored	vượt thời gian
timekeeper	máy chấm công
timekeeping	chấm công
timeless	vượt thời gian
timeliness	kịp thời
timely	hợp thời
timens	thời gian
timeo	thời gian
timepiece	đồng hồ
timepleaser	người thích hẹn giờ
timer	hẹn giờ
times	lần
timeserver	máy tính thời gian
timeserving	thời gian phục vụ
timesion	thời gian
timetable	thời gian biểu
timework	thời gian làm việc
timeworn	thời gian
timid	nhút nhát
timidity	sự rụt rè
timing	thời gian
timist	người bấm giờ
timocracy	chế độ dân chủ
timon	timon
timor	timor
timorous	nhút nhát
timorously	một cách rụt rè
timothy	timothy
timpani	timpani
timucu	timucu
tin	thiếc
tinamidae	tinamidae
tinamiformes	bộ tinamiformes
tinamou	tinamou
tinca	tinca
tinct	cồn thuốc
tinctorial	tin học thuật
tincture	cồn thuốc
tinctured	tẩm cồn
tinder	bùi nhùi
tinderbox	hộp đánh lửa
tine	tine
tinea	nấm da đầu
tineid	tineid
tineidae	tineidae
tineoid	tineoid
tineoidea	tineoidea
tineola	lang ben
tinfoil	giấy thiếc
ting	ting
tinge	nhuốm màu
tingent	nhuốm màu
tingible	nghe được
tingidae	cá mè
tingle	ngứa ran
tingling	ngứa ran
tininess	nhỏ xíu
tink	leng keng
tinker	mày mò
tinkering	mày mò
tinkers	thợ mày mò
tinkle	leng keng
tinkling	leng keng
tinned	đóng hộp
tinnient	tinnient
tinning	đóng hộp
tinnitus	ù tai
tinny	hơi nhỏ
tinsel	kim Tuyến
tinsmith	thợ thiếc
tint	pha màu
tintack	tintack
tintamarre	tintamarre
tinted	nhuốm màu
tinting	nhuốm màu
tintinnabulary	tintinnabulary
tinware	đồ thiếc
tiny	nhỏ xíu
tip	mẹo
tip-off	lật úp
tip-top	đỉnh cao
tip-up	tiền boa
tipcat	con mèo nhỏ
tipped	nghiêng
tippet	bành trướng
tipple	đầu ti
tippler	người rót rượu
tippybob	tippybob
tips	lời khuyên
tipstaff	người mách nước
tipster	người mách nước
tipsy	say
tiptoe	nhón chân
tiptop	đỉnh cao
tipu	tipu
tipuana	tipuana
tipulidae	tipulidae
tirade	ti lệ
tirailleur	người đánh xe ngựa
tirana	tirana
tiranno	tiranno
tire	lốp xe
tired	mệt
tiredly	mệt mỏi
tiredness	mệt mỏi
tirer	người làm việc mệt mỏi
tiresias	chứng mệt mỏi
tiresome	mệt mỏi
tiring	mệt mỏi
tis	đây là
tisane	tisane
tishri	tisri
tisiphone	tisiphone
tisk	đánh máy
tissue	mô
tit	ăn miếng trả miếng
titan	người khổng lồ
titaness	người khổng lồ
titanic	khổng lồ
titanium	titan
titanosaur	khủng long khổng lồ
titanosauridae	họ titanosauridae
titanosaurus	titanosaurus
titbit	miếng mồi ngon
titer	tiêu chuẩn
tithe	phần mười
tithing	đóng tiền thập phân
tithingman	người dâng phần mười
titi	titi
titian	titian
titillate	khuấy động
titillating	khuấy động
titillation	sự khuấy động
titillative	chuẩn độ
titivate	chuẩn độ
title	tiêu đề
titled	có tiêu đề
titlepage	trang tiêu đề
titmouse	chim bạc má
titration	chuẩn độ
titter	cười khúc khích
tittle	tước hiệu
tittletattle	tittletattle
titubancy	tiền tiêu vặt
titubate	đặt ống dẫn tinh
titubation	đặt ống nội khí quản
titular	danh nghĩa
titus	cái đầu
tiu	hủ tíu
tivoli	tivoli
tizzy	chóng mặt
tj	tj
tk	tk
tl	tl
tlingit	tiếng lóng
tmesis	sự khởi đầu
tnt	tnt
to	ĐẾN
toad	con cóc
toad-in-the-hole	con cóc trong lỗ
toadeater	quán cóc
toadeating	quán cóc
toadfish	cá cóc
toadflax	cây cóc
toadstool	thứ nấm
toady	cóc
toast	nướng
toasted	nướng
toaster	máy nướng bánh mì
toasting	nướng
toastmaster	người nướng bánh mì
toastrack	Giá nướng
tobacco	thuốc lá
tobago	tobago
tobagonian	người tobagon
tobbaconist	người bán thuốc lá
tobe	được
toboggan	trượt băng
tobogganing	trượt băng
tobogganist	người trượt tuyết
toby	toby
toccata	toccata
tocharian	người thổ dân
tocogony	giống lai
tocology	tocology
tocsin	tocsin
tod	con chồn
toda	hôm nay
today	Hôm nay
toddle	chập chững
toddler	trẻ mới biết đi
toddy	trẻ con
todea	todea
todidae	họ cóc
todo	làm
todus	todus
tody	đồ chơi
toe	ngón chân
toe-in	ngón chân vào
toea	toea
toecap	mũi giày
toed	ngón chân
toehold	chỗ để chân
toeless	cụt ngón
toenail	móng chân
toes	ngón chân
toetoe	ngón chân cái
toff	tắt
tofieldia	tofieldia
toft	trộm cắp
toga	toga
togavirus	togavirus
together	cùng nhau
togetherness	sự kết hợp với nhau
togged	kéo
toggery	đồ lặt vặt
toggle	chuyển đổi
togo	đi
togolese	người togo
togs	togs
toil	cực nhọc
toiler	người lao động nặng nhọc
toilet	phòng vệ sinh
toileth	nhà vệ sinh
toiletry	vệ sinh cá nhân
toilette	nhà vệ sinh
toils	cực nhọc
toilsom	toilsom
toilsome	gian nan
toilworn	cực nhọc
toimeme	toimeme
toity	toại nguyện
tokamak	tokamak
tokay	tokay
toke	toke
token	mã thông báo
tokyo	tokyo
tolazamide	tolazamid
tolbutamide	tolbutamid
told	nói
tolderolloll	nói vớirolloll
toledo	toledo
tolerable	chịu được
tolerably	chịu được
tolerance	sức chịu đựng
tolerant	chấp thuận
tolerantly	khoan dung
tolerate	tha thứ
tolerated	được chấp nhận
toleration	khoan dung
toll	thu phí
tollbooth	nhà thu phí
tollboth	thu phí
tollenda	tollenda
toller	người thu phí
tollgate	trạm thu phí
tolling	thu phí
tollitur	tollitur
tollkeeper	người thu phí
tolmiea	tolmiea
tolstoy	tolstoy
tolu	tolu
toluene	toluen
tolypeutes	tolypeute
tom	tom
tomahawk	tomahawk
tomalley	tomalley
tomatillo	cà chua
tomato	cà chua
tomb	mộ
tombac	nấm mồ hôi
tombe	ngôi mộ
tomber	ngôi mộ
tombigbee	ong vò vẽ
tombola	bia mộ
tomboy	tomboy
tomcat	mèo con
tome	với tôi
tomentose	tomento
tomentum	tomentum
tomfool	đồ ngu
tomfoolery	trò bịp bợm
tomistoma	tomistoma
tommy	tommy
tomograph	chụp cắt lớp
tomorrow	Ngày mai
tompion	tompoon
tomtate	tomtate
tomtit	tomtit
tomtom	tomtom
ton	tấn
tonal	thanh điệu
tonality	âm giai
tone	tấn
tone-deaf	giọng điếc
toned	săn chắc
toneless	vô điệu
tonelessly	vô điệu
toner	mực toner
tong	tong
tonga	tonga
tongan	tongan
tongs	cái kẹp
tongu	tiếng lạ
tongue	lưỡi
tongued	lưỡi
tonguefish	cá lưỡi
tongueflower	hoa lưỡi
tongueless	không lưỡi
tonguep	líu lưỡi
tongues	lưỡi
tonguetied	kín miệng
tonic	thuốc bổ
tonicity	thuốc bổ
tonight	tối nay
tonjon	tonjon
tonnage	trọng tải
tons	tấn
tonsil	amiđan
tonsilitis	viêm amidan
tonsillectomy	cắt amidan
tonsillitis	viêm amiđan
tonsils	amidan
tonsorial	ton-sur-ton
tonsure	cạo đầu
tonsured	săn chắc
tontine	tontin
tonue	giai điệu
tony	tony
too	cũng vậy
tool	dụng cụ
toolbox	hộp công cụ
tooling	dụng cụ
toolmaker	thợ làm công cụ
tools	công cụ
toona	toona
toot	thổi còi
tooth	răng
toothache	bệnh đau răng
toothbrush	Bàn chải đánh răng
toothed	có răng
toothful	đầy răng
toothless	không có răng
toothlike	giống răng
toothpaste	kem đánh răng
toothpick	tăm xỉa răng
toothsome	răng khểnh
toothy	có răng
tootle	con dao găm
toots	thổi kèn
top	đứng đầu
top(a)	hàng đầu (a)
top-down	từ trên xuống
top-flight	chuyến bay hàng đầu
top-heavy	nặng hàng đầu
top-secret	tuyệt mật
topaz	hoàng ngọc
tope	tope
topek	topek
topeka	topeka
toper	đỉnh cao
topful	đầy ắp
topgallant	hào hoa phong nhã
topheavy	topheavy
tophet	tophet
topi	topi
topiary	nghệ thuật tỉa cây
topic	đề tài
topical	chuyên đề
toping	bay vèo
topknot	búi tóc
topless	để ngực trần
topmast	cột buồm
topminnow	topminnow
topmost	trên cùng
topognosia	topognosia
topographical	địa hình
topographically	theo địa hình
topography	địa hình
topolatry	topotry
topology	cấu trúc liên kết
topped	đứng đầu
topping	phủ bên trên thức ăn
topple	lật đổ
toppletopple	lật đổ
toppling	lật đổ
tops	ngọn
topsail	cánh buồm
topsails	cánh buồm
topside	mặt trên
topsoil	tầng đất mặt
topspin	quay đầu
topsy	lật úp
topsyturvy	lộn ngược
tor	tor
torah	kinh thánh
torch	ngọn đuốc
torchbearer	người cầm đuốc
torchlight	ngọn đuốc
torero	torero
tories	câu chuyện
torment	dày vò
tormenter	kẻ hành hạ
tormenting	dày vò
tormentor	kẻ hành hạ
tormes	cực hình
tormina	lốc xoáy
torminous	dữ dội
torn	bị rách
tornado	lốc xoáy
toroid	hình xuyến
toroidal	hình xuyến
toronto	toronto
torose	bông hồng
torpedinidae	ngư lôi
torpediniformes	bộ ngư lôi
torpedinous	ngư lôi
torpedo	ngư lôi
torpedoboat	tàu phóng lôi
torpedocatcher	ngư lôi
torpedodestroyer	tàu khu trục ngư lôi
torpescence	sự phát quang
torpescent	ngọn lửa
torpid	tê mê
torpidity	sự chậm chạp
torpids	ngư lôi
torpor	hôn mê
torporific	tàn bạo
torque	mô-men xoắn
torr	torr
torrefaction	sự vặn vẹo
torrefy	ngọn lửa
torrent	dòng chảy
torrential	xối xả
torrents	dòng chảy
torreya	torreya
torricelli	torricelli
torrid	nóng như lửa đốt
torridity	sự bốc hỏa
torsion	xoắn
torso	thân
tort	tra tấn
torte	torte
tortellini	tortellini
torticollis	trẹo cổ
tortile	to xác
tortilla	bánh ngô
tortious	quanh co
tortive	tra tấn
tortoise	con rùa
tortoiseshell	mai rùa
tortricid	dữ dội
tortricidae	tortricidae
tortuosity	quanh co
tortuous	quanh co
tortuousinsidious	khúc khuỷu
tortuously	quanh co
torture	tra tấn
tortured	tra tấn
torturer	kẻ tra tấn
tortus	khúc khuỷu
torulose	torulose
torus	hình xuyến
torvity	trọng lực
torvous	quanh co
tory	câu chuyện
tosk	lắc lư
toss	quăng
toss-up	quăng lên
tossing	ném
tost	tost
tostada	Tostada
tot	tot
total	tổng cộng
totaled	tổng cộng
totalitarian	toàn trị
totality	toàn bộ
totalizator	tổng cộng
totalizer	tổng cộng
totally	Tổng cộng
totalness	sự toàn vẹn
totara	totara
tote	tote
totem	vật tổ
totemic	vật tổ
totemism	thuyết tôtem
totidem	totidem
totient	totient
toties	đồ chơi
totis	totis
totitive	totitive
toto	toto
totter	lung lay
tottering	loạng choạng
totus	totus
toucan	toucan
toucanet	toucanet
toucb	toucb
touch	chạm
touch-typist	người đánh máy
touchback	phản hồi
touchd	xúc động
touchdown	chạm đất
touched	xúc động
touches	chạm
touchily	xúc động
touching	sờ vào
touchline	đường biên giới
touchstone	hòn đá thử
touchwood	gỗ cảm ứng
touchy	nhạy cảm
tough	khó
tough-minded	tư duy bảo thủ
toughly	cứng rắn
toughness	dẻo dai
toujours	du lịch
toupee	tóc giả
toupeed	tóc giả
tour	chuyến du lịch
touraco	du lịch
tourism	du lịch
tourist	du khách
touristed	khách du lịch
tourmaline	tourmaline
tournament	giải đấu
tournay	giải đấu
tournedos	du lịch
tourner	du khách
tourney	đấu thương
tourniquet	garô
tournure	giải đấu
tous	tous
touse	sử dụng
tousle	rối bù
tout	chào hàng
toute	mời chào
touter	người chào hàng
tow	kéo
towage	lai dắt
toward	theo hướng
towardly	về phía
towards	đối với
towars	hướng tới
towel	cái khăn lau
toweling	khăn tắm
tower	tòa tháp
towering	cao chót vót
towhee	towhee
towhelp	người kéo xe
towith	đến với
towline	dây kéo
town	thị trấn
townee	người thành thị
townhouse	nhà phố
townie	thị trấn
townsendia	thị trấn
township	thị trấn
townsman	thị dân
towpath	lối mòn
towrow	kéo
towzle	kéo
toxemia	nhiễm độc máu
toxic	độc hại
toxicity	độc tính
toxicodendron	độc tố
toxicological	chất độc học
toxicologist	nhà độc chất học
toxicology	độc chất học
toxiferous	có độc
toxin	chất độc
toxophilite	độc tính
toxostoma	độc tố
toxotes	chất độc
toxotidae	họ độc tố
toy	đồ chơi
toyon	toyon
toyshop	cửa hàng đồ chơi
tr	tr
tra-la	tra-la
trabeated	tra tấn
tracasserie	tracasserie
trace	dấu vết
traceable	có thể theo dõi
tracer	người đánh dấu
tracery	cây trắc
traces	dấu vết
trachea	khí quản
tracheal	khí quản
tracheid	khí quản
tracheitis	viêm khí quản
trachelospermum	khí quản
tracheocele	khí quản
tracheophyta	khí quản
tracheostomy	mở khí quản
trachinotus	khí quản
trachipteridae	trachipteridae
trachipterus	trachipterus
trachodon	trachodon
trachoma	đau mắt hột
trachurus	khí quản
tracing	truy tìm
track	theo dõi
tracked	theo dõi
tracker	người theo dõi
trackless	vô định
tracks	bài hát
tract	đường
tractability	tính khả thi
tractable	dễ uốn nắn
tractarian	người thợ kéo
tractarianism	chủ nghĩa độc tài
tractate	kéo
tractation	sức kéo
tractile	dẻo dai
tractility	sự dẻo dai
traction	lực kéo
tractive	hấp dẫn
tractor	máy kéo
trad	buôn bán
trade	buôn bán
trade(a)	giao dịch (a)
trade-in	mua bán
trade-last	giao dịch cuối cùng
tradecraft	nghề thủ công
traded	giao dịch
trademark	Nhãn hiệu
trademarked	đăng ký nhãn hiệu
trader	thương nhân
trades	giao dịch
tradescantia	thương nhân
tradesfolk	thương gia
tradesman	thương gia
tradespeople	thương gia
trading	thương mại
tradition	truyền thống
traditional	truyền thống
traditionalism	chủ nghĩa truyền thống
traditionalist	người theo chủ nghĩa truyền thống
traditionalistic	truyền thống
traditionally	theo truyền thống
traditionary	truyền thống
traduce	giao dịch
traducement	giao dịch
traducer	người buôn bán
trafalgar	trafalgar
traffic	giao thông
tragacanth	tragacanth
tragalism	chủ nghĩa tragalism
tragalist	người theo chủ nghĩa tragalist
tragedian	bi kịch
tragedienne	bi kịch
tragedy	bi kịch
tragelaphus	tragagelaphus
tragic	bi kịch
tragical	thảm kịch
tragically	một cách bi thảm
tragicomedy	thảm kịch
tragicomic	bi kịch
tragopan	tragopan
tragopogon	tragopogon
tragulidae	tragulidae
tragulus	tragulus
trahit	trahit
trail	đường mòn
trailblazer	tiên phong
trailer	đoạn phim giới thiệu
trailing	dấu vết
train	xe lửa
trainband	đoàn xe lửa
trainbearer	người huấn luyện
trained	đào tạo
trainee	thực tập sinh
traineeship	thực tập sinh
trainer	huấn luyện viên
training	đào tạo
trainload	xe lửa
trainman	người lái xe lửa
traipse	đi lang thang
trait	đặc điểm
traiter	kẻ phản bội
traitor	kẻ phản bội
traitorous	kẻ phản bội
traitors	kẻ phản bội
traitress	kẻ phản bội
traits	đặc điểm
trajection	quỹ đạo
trajectory	quỹ đạo
tralatitious	tầm thường
tralineate	phân loại
tralucent	trong suốt
tram	Xe điện
tramline	đường xe điện
trammel	tấm bạt lò xo
trammels	ván trượt
tramontane	xe điện
tramp	kẻ lang thang
tramper	kẻ lang thang
tramping	đi lang thang
trample	chà đạp
trampled	chà đạp
trampoline	nhún nhảy
tramway	xe điện
trance	xuất thần
trancelike	như bị thôi miên
tranchant	chuyển nhượng
tranquil	thanh bình
tranquility	Yên bình
tranquilization	an thần
tranquilize	tranquilize
tranquilizer	thuốc an thần
tranquillity	Yên bình
tranquillization	sự an thần
tranquillize	làm yên lòng
tranquilly	thanh thản
trans	Dịch
trans(a)	xuyên (a)
transact	giao dịch
transaction	giao dịch
transactions	giao dịch
transalpine	xuyên núi
transaminase	transaminase
transamination	sự chuyển hóa
transanimation	chuyển sinh
transatlantic	xuyên đại tây dương
transcalency	sự siêu việt
transcend	vượt qua
transcendence	siêu việt
transcendency	siêu việt
transcendent	siêu việt
transcendental	siêu việt
transcendentalism	chủ nghĩa siêu nghiệm
transcendentalist	người siêu nghiệm
transcendentally	siêu việt
transcendentalplus	siêu việt cộng
transcolate	chuyển ngữ
transcontinental	xuyên lục địa
transcribe	phiên âm
transcribed	phiên âm
transcriber	người phiên âm
transcript	bảng điểm
transcription	phiên mã
transcultural	xuyên văn hóa
transcursion	chuyển tiếp
transdermal	thẩm thấu qua da
transducer	đầu dò
transduction	truyền tải
transeat	chuyển tuyến
transept	xuyên qua
